,Hour,Hourly Cost
0,16,126.84512528
1,17,124.7844644
2,18,126.5791404
3,19,126.00263124
4,20,130.8404286
5,21,129.65193332
6,22,126.20603476000001
7,23,127.71361538000001
8,0,130.08267064
9,1,130.2980393
10,2,130.2980393
11,3,130.08267064
12,4,134.1389268
13,5,133.25932728
14,6,138.09712464
15,7,142.2893174
16,8,133.48503256
17,9,135.19806368
18,10,132.43556508
19,11,132.43873920000001
20,12,136.01545884
21,13,135.75930920000002
22,14,130.34043
23,15,135.52337287999998
24,16,146.92749231999997
25,17,144.5405836
26,18,147.02400504000002
27,19,146.77374372
28,20,152.4090358
29,21,151.47428884
30,22,147.44839412000002
31,23,146.5227096
32,0,151.97752568
33,1,149.487756
34,2,149.487756
35,3,149.2406688
36,4,147.9591478
37,5,146.98892388000002
38,6,152.32515544
39,7,150.90769784
40,8,138.76843508
41,9,132.62433072
42,10,127.48747284
43,11,125.15253744
44,12,123.98506974
45,13,121.3500296
46,14,114.48116
47,15,116.99974552
