,Hour,Hourly Cost,PCEA,ESB,PCDDR
0,18,126.57914039999952,-2.1407735546001646e-12,0.0,0.0
1,19,146.36986643206552,92.62049252626021,92.62049252626021,0.0
2,20,151.50831098022107,93.98769285468043,186.60818538094065,0.0
3,21,361.30214346786204,1075.5985116305317,1262.2066970114724,0.0
4,22,357.8590804937139,1075.611677825891,2337.8183748373635,0.0
5,23,559.1655675402636,2059.117041168132,4396.935416005495,0.0
6,0,561.3389877048969,2058.425552619577,6455.360968625073,0.0
7,1,361.98351385791796,1075.762251378255,7531.123220003328,0.0
8,2,361.8273562367629,1075.037180139222,8606.160400142551,0.0
9,3,280.17735407888716,696.9197999322981,9303.08020007485,0.0
10,4,197.4177814341604,287.76211535067864,9590.842315425529,0.0
11,5,178.24619015136466,204.57884229570598,9795.421157721235,0.0
12,6,160.59055607517698,102.28942114555495,9897.71057886679,0.0
13,7,153.7677810577508,51.14471059381157,9948.855289460602,0.0
14,8,139.34013835712375,25.572355299001842,9974.427644759604,0.0
15,9,135.60982059633946,12.78617762332721,9987.213822382932,0.0
16,10,133.98624700333443,6.393088817412064,9993.606911200344,0.0
17,11,133.22856440459128,3.196544396436935,9996.80345559678,0.0
18,12,134.0115357465183,1.598272203276219,9998.401727800057,0.0
19,13,-139.04074291881432,-1063.3753422434402,8935.026385556617,0.0
20,14,-146.89178571417762,-1063.492792352218,7871.533593204399,0.0
21,15,-407.26793499569254,-2046.6311635416178,5824.902429662781,0.0
22,16,-395.4904174655276,-2045.2232409079093,3779.679188754872,0.0
23,17,-356.66770608929613,-1889.8395943702722,1889.8395943845999,0.0
24,18,-51.372595200522035,-761.0708367331688,1128.768757651431,0.0
25,19,27.088529884098975,-467.247245929766,661.5215117216651,0.0
26,20,89.39615509426245,-246.00027041122348,415.5212413104416,0.0
27,21,99.19788973356106,-207.76062065105947,207.76062065938214,0.0
28,22,141.58024878569424,-13.002901058030414,194.75771960135174,0.0
29,23,143.40423561949723,-12.62094507729568,182.13677452405605,0.0
30,0,195.51763075832048,187.29000109402858,369.42677561808466,0.0
31,1,119.62912206289194,-120.84249583591567,248.584279782169,0.0
32,2,123.97214374488351,-103.26561738170366,145.31866240046534,0.0
33,3,206.72050250714037,232.62975057850164,377.948412978967,0.0
34,4,108.69452765431829,-161.87859044201554,216.06982253695145,0.0
35,5,120.78441009989659,-108.03491128152525,108.0349112554262,0.0
36,6,141.65069448438138,-44.00823659601643,64.02667465940976,0.0
37,7,162.37145215466043,48.16202446611189,112.18869912552165,0.0
38,8,143.84371423722345,21.32248408620781,133.51118321172947,0.0
39,9,145.55505313919227,55.379358329109564,188.89054154083902,0.0
40,10,134.48424416724086,29.96558845799698,218.856129998836,0.0
41,11,99.60179116396324,-109.42806501643157,109.42806498240442,0.0
42,12,109.05154010387984,-54.714032492857996,54.714032489546426,0.0
43,13,133.82150241592174,54.4695424815827,109.18357497112913,0.0
44,14,101.98169768335495,-54.59178748994618,54.591787481182955,0.0
45,15,112.94178408284169,-27.29589374146415,27.295893739718807,0.0
46,16,126.16871373160357,-13.647946869949518,13.647946869769289,0.0
47,17,45.90400510527371,1662.11735104575,1675.7652979155193,3337.8826489614494
